"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"BEL","REALGDPFORECAST","TOT","AGRWTH","A","1998",1.96267332850527,
"BEL","REALGDPFORECAST","TOT","AGRWTH","A","1999",3.54254771508442,
"BEL","REALGDPFORECAST","TOT","AGRWTH","A","2000",3.724051995129,
"BEL","REALGDPFORECAST","TOT","AGRWTH","A","2001",1.09272708519145,
"BEL","REALGDPFORECAST","TOT","AGRWTH","A","2002",1.70629823908581,
"BEL","REALGDPFORECAST","TOT","AGRWTH","A","2003",1.03799694324948,
"BEL","REALGDPFORECAST","TOT","AGRWTH","A","2004",3.57026048358837,
"BEL","REALGDPFORECAST","TOT","AGRWTH","A","2005",2.32669610281222,
"BEL","REALGDPFORECAST","TOT","AGRWTH","A","2006",2.5531938344199,
"BEL","REALGDPFORECAST","TOT","AGRWTH","A","2007",3.67237710379812,
"BEL","REALGDPFORECAST","TOT","AGRWTH","A","2008",0.444989270497496,
"BEL","REALGDPFORECAST","TOT","AGRWTH","A","2009",-2.01796325299495,
"BEL","REALGDPFORECAST","TOT","AGRWTH","A","2010",2.86426788291183,
"BEL","REALGDPFORECAST","TOT","AGRWTH","A","2011",1.69472,
"BEL","REALGDPFORECAST","TOT","AGRWTH","A","2012",0.739090485720399,
"BEL","REALGDPFORECAST","TOT","AGRWTH","A","2013",0.459292170292942,
"BEL","REALGDPFORECAST","TOT","AGRWTH","A","2014",1.57878110238574,
"BEL","REALGDPFORECAST","TOT","AGRWTH","A","2015",2.04130608326845,
"BEL","REALGDPFORECAST","TOT","AGRWTH","A","2016",1.26661259125219,
"BEL","REALGDPFORECAST","TOT","AGRWTH","A","2017",1.61950803355608,
"BEL","REALGDPFORECAST","TOT","AGRWTH","A","2018",1.8189704627181,
"BEL","REALGDPFORECAST","TOT","AGRWTH","A","2019",2.14972492865552,
"BEL","REALGDPFORECAST","TOT","AGRWTH","A","2020",-5.65964125560537,
"BEL","REALGDPFORECAST","TOT","AGRWTH","A","2021",6.08573885602122,
"BEL","REALGDPFORECAST","TOT","AGRWTH","A","2022",3.18850505395687,
"BEL","REALGDPFORECAST","TOT","AGRWTH","A","2023",1.42546365896011,
"CAN","REALGDPFORECAST","TOT","AGRWTH","A","1962",7.4253691206278,
"CAN","REALGDPFORECAST","TOT","AGRWTH","A","1963",5.3495359568791,
"CAN","REALGDPFORECAST","TOT","AGRWTH","A","1964",6.64288203622611,
"CAN","REALGDPFORECAST","TOT","AGRWTH","A","1965",6.31670312322511,
"CAN","REALGDPFORECAST","TOT","AGRWTH","A","1966",6.70481636258137,
"CAN","REALGDPFORECAST","TOT","AGRWTH","A","1967",3.09136002793382,
"CAN","REALGDPFORECAST","TOT","AGRWTH","A","1968",4.99550970456695,
"CAN","REALGDPFORECAST","TOT","AGRWTH","A","1969",5.04550379609442,
"CAN","REALGDPFORECAST","TOT","AGRWTH","A","1970",2.95996997714415,
"CAN","REALGDPFORECAST","TOT","AGRWTH","A","1971",3.97033847751788,
"CAN","REALGDPFORECAST","TOT","AGRWTH","A","1972",5.50963687586853,
"CAN","REALGDPFORECAST","TOT","AGRWTH","A","1973",6.83581949905097,
"CAN","REALGDPFORECAST","TOT","AGRWTH","A","1974",3.28031931914511,
"CAN","REALGDPFORECAST","TOT","AGRWTH","A","1975",1.46112655426563,
"CAN","REALGDPFORECAST","TOT","AGRWTH","A","1976",5.87873727099215,
"CAN","REALGDPFORECAST","TOT","AGRWTH","A","1977",3.43811424714362,
"CAN","REALGDPFORECAST","TOT","AGRWTH","A","1978",3.68353907774067,
"CAN","REALGDPFORECAST","TOT","AGRWTH","A","1979",3.7111335263899,
"CAN","REALGDPFORECAST","TOT","AGRWTH","A","1980",2.15553607875367,
"CAN","REALGDPFORECAST","TOT","AGRWTH","A","1981",3.47406489520687,
"CAN","REALGDPFORECAST","TOT","AGRWTH","A","1982",-3.18726208359968,
"CAN","REALGDPFORECAST","TOT","AGRWTH","A","1983",2.60133944725204,
"CAN","REALGDPFORECAST","TOT","AGRWTH","A","1984",5.90845704237475,
"CAN","REALGDPFORECAST","TOT","AGRWTH","A","1985",4.73739989680139,
"CAN","REALGDPFORECAST","TOT","AGRWTH","A","1986",2.14497205125581,
"CAN","REALGDPFORECAST","TOT","AGRWTH","A","1987",4.07295912943793,
"CAN","REALGDPFORECAST","TOT","AGRWTH","A","1988",4.41011097658266,
"CAN","REALGDPFORECAST","TOT","AGRWTH","A","1989",2.31697930309981,
"CAN","REALGDPFORECAST","TOT","AGRWTH","A","1990",0.164672536211564,
"CAN","REALGDPFORECAST","TOT","AGRWTH","A","1991",-2.08608547658098,
"CAN","REALGDPFORECAST","TOT","AGRWTH","A","1992",0.900259571570145,
"CAN","REALGDPFORECAST","TOT","AGRWTH","A","1993",2.66085657797454,
"CAN","REALGDPFORECAST","TOT","AGRWTH","A","1994",4.49446621386473,
"CAN","REALGDPFORECAST","TOT","AGRWTH","A","1995",2.6939762700106,
"CAN","REALGDPFORECAST","TOT","AGRWTH","A","1996",1.61917246923065,
"CAN","REALGDPFORECAST","TOT","AGRWTH","A","1997",4.2800400775141,
"CAN","REALGDPFORECAST","TOT","AGRWTH","A","1998",3.89615183927225,
"CAN","REALGDPFORECAST","TOT","AGRWTH","A","1999",5.16291359758597,
"CAN","REALGDPFORECAST","TOT","AGRWTH","A","2000",5.17763568884522,
"CAN","REALGDPFORECAST","TOT","AGRWTH","A","2001",1.78997283607414,
"CAN","REALGDPFORECAST","TOT","AGRWTH","A","2002",3.01805054641656,
"CAN","REALGDPFORECAST","TOT","AGRWTH","A","2003",1.80151809769703,
"CAN","REALGDPFORECAST","TOT","AGRWTH","A","2004",3.08698081808454,
"CAN","REALGDPFORECAST","TOT","AGRWTH","A","2005",3.20420042908284,
"CAN","REALGDPFORECAST","TOT","AGRWTH","A","2006",2.63430381242517,
"CAN","REALGDPFORECAST","TOT","AGRWTH","A","2007",2.07182504628009,
"CAN","REALGDPFORECAST","TOT","AGRWTH","A","2008",1.00428918651197,
"CAN","REALGDPFORECAST","TOT","AGRWTH","A","2009",-2.92595561139426,
"CAN","REALGDPFORECAST","TOT","AGRWTH","A","2010",3.08991945423415,
"CAN","REALGDPFORECAST","TOT","AGRWTH","A","2011",3.14610049466808,
"CAN","REALGDPFORECAST","TOT","AGRWTH","A","2012",1.76096156036359,
"CAN","REALGDPFORECAST","TOT","AGRWTH","A","2013",2.32912252127708,
"CAN","REALGDPFORECAST","TOT","AGRWTH","A","2014",2.8700360407459,
"CAN","REALGDPFORECAST","TOT","AGRWTH","A","2015",0.659176888685086,
"CAN","REALGDPFORECAST","TOT","AGRWTH","A","2016",1.0013944267607,
"CAN","REALGDPFORECAST","TOT","AGRWTH","A","2017",3.03988019360382,
"CAN","REALGDPFORECAST","TOT","AGRWTH","A","2018",2.42954758663782,
"CAN","REALGDPFORECAST","TOT","AGRWTH","A","2019",1.86141534430309,
"CAN","REALGDPFORECAST","TOT","AGRWTH","A","2020",-5.3129447501408,
"CAN","REALGDPFORECAST","TOT","AGRWTH","A","2021",4.81548630477767,
"CAN","REALGDPFORECAST","TOT","AGRWTH","A","2022",3.87583254179969,
"CAN","REALGDPFORECAST","TOT","AGRWTH","A","2023",2.75910311984337,
"CZE","REALGDPFORECAST","TOT","AGRWTH","A","1996",4.16112572782365,
"CZE","REALGDPFORECAST","TOT","AGRWTH","A","1997",-0.543293032027751,
"CZE","REALGDPFORECAST","TOT","AGRWTH","A","1998",-0.346170620838367,
"CZE","REALGDPFORECAST","TOT","AGRWTH","A","1999",1.21775976105568,
"CZE","REALGDPFORECAST","TOT","AGRWTH","A","2000",4.3548657287221,
"CZE","REALGDPFORECAST","TOT","AGRWTH","A","2001",3.03007394229702,
"CZE","REALGDPFORECAST","TOT","AGRWTH","A","2002",1.48571749729525,
"CZE","REALGDPFORECAST","TOT","AGRWTH","A","2003",3.57990916469299,
"CZE","REALGDPFORECAST","TOT","AGRWTH","A","2004",4.65078631927729,
"CZE","REALGDPFORECAST","TOT","AGRWTH","A","2005",6.6797607863284,
"CZE","REALGDPFORECAST","TOT","AGRWTH","A","2006",6.95712072095849,
"CZE","REALGDPFORECAST","TOT","AGRWTH","A","2007",5.55614012699879,
"CZE","REALGDPFORECAST","TOT","AGRWTH","A","2008",2.50862634143674,
"CZE","REALGDPFORECAST","TOT","AGRWTH","A","2009",-4.50751278952444,
"CZE","REALGDPFORECAST","TOT","AGRWTH","A","2010",2.27092004654073,
"CZE","REALGDPFORECAST","TOT","AGRWTH","A","2011",1.76116049780279,
"CZE","REALGDPFORECAST","TOT","AGRWTH","A","2012",-0.704754467115313,
"CZE","REALGDPFORECAST","TOT","AGRWTH","A","2013",-0.0437045627470321,
"CZE","REALGDPFORECAST","TOT","AGRWTH","A","2014",2.26176775085524,
"CZE","REALGDPFORECAST","TOT","AGRWTH","A","2015",5.46990684026096,
"CZE","REALGDPFORECAST","TOT","AGRWTH","A","2016",2.43891897872431,
"CZE","REALGDPFORECAST","TOT","AGRWTH","A","2017",5.37368726595234,
"CZE","REALGDPFORECAST","TOT","AGRWTH","A","2018",3.17949514606641,
"CZE","REALGDPFORECAST","TOT","AGRWTH","A","2019",2.95633530912587,
"CZE","REALGDPFORECAST","TOT","AGRWTH","A","2020",-5.80590948211614,
"CZE","REALGDPFORECAST","TOT","AGRWTH","A","2021",2.54196374995776,
"CZE","REALGDPFORECAST","TOT","AGRWTH","A","2022",2.9563801995033,
"CZE","REALGDPFORECAST","TOT","AGRWTH","A","2023",3.89680128556409,
"DNK","REALGDPFORECAST","TOT","AGRWTH","A","1967",5.53037000953752,
"DNK","REALGDPFORECAST","TOT","AGRWTH","A","1968",5.55307656869711,
"DNK","REALGDPFORECAST","TOT","AGRWTH","A","1969",6.50924838603096,
"DNK","REALGDPFORECAST","TOT","AGRWTH","A","1970",1.5968418410614,
"DNK","REALGDPFORECAST","TOT","AGRWTH","A","1971",3.00499556647536,
"DNK","REALGDPFORECAST","TOT","AGRWTH","A","1972",3.92938528646849,
"DNK","REALGDPFORECAST","TOT","AGRWTH","A","1973",4.09294614203844,
"DNK","REALGDPFORECAST","TOT","AGRWTH","A","1974",-1.12239431173967,
"DNK","REALGDPFORECAST","TOT","AGRWTH","A","1975",-1.45664495441161,
"DNK","REALGDPFORECAST","TOT","AGRWTH","A","1976",5.92460627085122,
"DNK","REALGDPFORECAST","TOT","AGRWTH","A","1977",1.87029095804985,
"DNK","REALGDPFORECAST","TOT","AGRWTH","A","1978",2.22630855067548,
"DNK","REALGDPFORECAST","TOT","AGRWTH","A","1979",3.86911153855904,
"DNK","REALGDPFORECAST","TOT","AGRWTH","A","1980",-0.482986397905795,
"DNK","REALGDPFORECAST","TOT","AGRWTH","A","1981",-0.66612408108211,
"DNK","REALGDPFORECAST","TOT","AGRWTH","A","1982",3.68457289476816,
"DNK","REALGDPFORECAST","TOT","AGRWTH","A","1983",2.59607192385982,
